-152.5,E ,HISPASAT-2-152.5W,121559021 ,P,2967,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-2-152.5W&sel_satname=HISPASAT-2-152.5W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2967,/online/snl/satbandold_snl.sh?ntc_id=121559021&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=HISPASAT-2-152.5W&sel_satname=HISPASAT-2-152.5W&plan_id=plan
-152,F ,F-SAT-30B-152W,117559018 ,P,2869,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-152W&sel_satname=F-SAT-30B-152W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2869,/online/snl/satbandold_snl.sh?ntc_id=117559018&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=F-SAT-30B-152W&sel_satname=F-SAT-30B-152W&plan_id=plan
-152,F ,F-SAT-P-30B-152W-F,122559006 ,P,2984,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-152W-F&sel_satname=F-SAT-P-30B-152W-F&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2984,/online/snl/satbandold_snl.sh?ntc_id=122559006&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=F-SAT-P-30B-152W-F&sel_satname=F-SAT-P-30B-152W-F&plan_id=plan
-146,F ,F-SAT-30B-146W,118559008 ,P,2885,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-146W&sel_satname=F-SAT-30B-146W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2885,/online/snl/satbandold_snl.sh?ntc_id=118559008&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=F-SAT-30B-146W&sel_satname=F-SAT-30B-146W&plan_id=plan
-141.5,F ,F-SAT-30B-141.5W,117559063 ,P,2883,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-141.5W&sel_satname=F-SAT-30B-141.5W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2883,/online/snl/satbandold_snl.sh?ntc_id=117559063&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=F-SAT-30B-141.5W&sel_satname=F-SAT-30B-141.5W&plan_id=plan
-139,F ,F-SAT-30B-139W,118559005 ,P,2884,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-139W&sel_satname=F-SAT-30B-139W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2884,/online/snl/satbandold_snl.sh?ntc_id=118559005&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=F-SAT-30B-139W&sel_satname=F-SAT-30B-139W&plan_id=plan
-137,HOL ,NSS-FSS 137W,116559050 ,P,2854,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+137W&sel_satname=NSS-FSS+137W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2854,/online/snl/satbandold_snl.sh?ntc_id=116559050&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=NSS-FSS+137W&sel_satname=NSS-FSS+137W&plan_id=plan
-137,HOL ,NSS-FSS-137W,117559058 ,P,2881,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS-137W&sel_satname=NSS-FSS-137W&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2881,/online/snl/satbandold_snl.sh?ntc_id=117559058&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=NSS-FSS-137W&sel_satname=NSS-FSS-137W&plan_id=plan
-137,USA ,USASAT-101G,121559019 ,P,2967,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=USASAT-101G&sel_satname=USASAT-101G&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=2967,/online/snl/satbandold_snl.sh?ntc_id=121559019&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=USASAT-101G&sel_satname=USASAT-101G&plan_id=plan
-135.7,GTM ,GTM00000,90558092 ,P/Plan/List,,view,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GTM00000&sel_satname=GTM00000&plan_id=plan,//www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sel_ific=,/online/snl/satbandold_snl.sh?ntc_id=90558092&fr1=0&fr2=10000000000&ie=y&sat_type=G&sat_name=GTM00000&sel_satname=GTM00000&plan_id=plan
