NORAD ID,Longitude
28628,143.5398816
33274,143.9640551
44231,144.5576436
41794,144.8224982
50001,144.9462097
44048,146.0559199
47851,146.2275684
55912,146.7725619
27718,147.5856198
51281,147.6717357
55239,148.000183
41879,149.8326436
44868,149.9971984
41591,150.4858283
27711,150.6865142
29495,152.0326367
41744,152.2964482
41471,154.0065847
50321,154.8557544
40892,154.8691767
35756,156.0010802
40146,156.0383205
25924,159.0156464
32252,160.0080679
37210,160.0762249
43271,161.9983073
54230,163.2906292
55506,165.7411643
38356,166.0105225
43633,168.9951726
50005,171.010182
23467,171.9964015
42741,172.0018122
43874,172.9741438
40746,174.9599475
26554,175.999499
41869,177.0356144
47613,178.4257317
40882,179.591696
37834,179.9957763
