NORAD ID,Longitude,Compliance Grade
42934,-60.94,D
42942,122.13,A
42950,-18.0,A
42951,109.82,A
42967,-104.93,A
42984,113.14,F
43039,-24.79,A
43162,139.03,A
43174,-20.11,F
43175,-47.49,D
43226,-137.22,F
43228,-29.97,A
43271,162.0,A
43272,-33.55,A
43339,134.08,A
43432,128.04,A
43450,134.0,A
43463,119.05,D
43488,94.97,A
43491,79.45,F
43562,-63.04,F
43587,107.98,A
43611,137.98,F
43632,45.1,D
43633,169.0,A
43651,-150.03,A
43683,140.08,A
43698,55.03,A
43700,25.84,A
43823,128.22,A
43824,74.05,A
43864,62.78,D
43867,69.98,A
43874,101.65,F
43920,129.96,A
44034,38.95,A
44035,47.84,F
44048,145.99,A
44067,130.02,A
44071,60.32,F
44076,80.24,A
44186,30.47,A
44231,144.55,A
44307,48.96,A
44333,-100.89,B
44334,6.97,A
44457,12.0,A
44475,31.23,A
44476,61.94,A
44479,16.98,A
44481,54.38,F
44624,-5.01,A
44625,-27.5,A
44637,83.42,D
44800,35.44,A
44801,10.98,A
44868,149.98,A
44903,76.06,B
44910,122.95,F
44978,178.47,A
45026,83.02,A
45027,7.19,D
45245,135.85,F
45246,128.25,A
45344,80.01,A
45465,-94.32,F
45807,110.35,F
45863,133.99,A
45920,116.17,D
45985,105.31,F
45986,80.05,A
46112,109.85,A
46113,6.0,F
46114,-179.79,F
46610,117.85,A
46916,125.0,A
47202,90.73,A
47240,-120.9,A
47256,77.72,F
