New Name,Old Name
GEOSAT C 180E,VIDEOSAT-18-C
GEOSAT C 18W,F-SAT 19 C
GEOSAT C 1E,VIDEOSAT-10-C
GEOSAT C 1W,VIDEOSAT-9-C
GEOSAT C 32E,VIDEOSAT-12-C
GEOSAT C 34.5W,F-SAT 18 C
GEOSAT C 3W,F-SAT 21 C
GEOSAT C 50W,F-SAT 16 C
GEOSAT C 62E,F-SAT 7 C
GEOSAT C 85E,F-SAT 10 C
GEOSAT KU 16W,F-SAT 20 KU
GEOSAT KU 180E,VIDEOSAT-18-KU
GEOSAT KU 18W,F-SAT 19 KU
GEOSAT KU 1E,VIDEOSAT-10-KU
GEOSAT KU 1W,VIDEOSAT-9-KU
GEOSAT KU 32E,VIDEOSAT-12-KU
GEOSAT KU 34.5W,F-SAT 18 KU
GEOSAT KU 3W,F-SAT 21 KU
GEOSAT KU 50W,F-SAT 16 KU
GEOSAT KU 62E,F-SAT 7 KU
GEOSAT KU 85E,F-SAT 10 KU
GEOSAT-3E,F-SAT 22
GESATCOM E1,AM-SAT E1
GESATCOM-E2,AM-SAT E2
GESATCOM-E3,AM-SAT E3
GESATCOM-E4,AM-SAT E4
GESATCOM-E5,AM-SAT E5
GIBSAT-125W,AMC-125W
GIBSAT-129W,AMC-129W
GIBSAT-139W,AMC-139W
GIBSAT-47.5W,GIBSAT-47W
GIBSAT-72.5W,GIBSAT-75W
GIBSAT-77W,AMC-77W
GK2-116.2E,GK2A-116.2E
GK2-128.2E,GK2A-128.2E
GMS-160E,GMS
GMS-160E,GMSS
GOES-EAST-1,GOES-I
GOES-WEST-1,GOES-J
GREENSAT-1,GROENSAT-TP1
HJ-1-ABC,HJ-1-A/B/C
IDF-UHF,IDS-UHF
INMARSAT GSO-1A,INMARSAT-4 GSO-1A
INMARSAT GSO-1B,INMARSAT-4 GSO-1B
INMARSAT GSO-1C,INMARSAT-4 GSO-1C
INMARSAT GSO-1D,INMARSAT-4 GSO-1D
INMARSAT GSO-1E,INMARSAT-4 GSO-1E
INMARSAT GSO-1F,INMARSAT-4 GSO-1F
INMARSAT GSO-1G,INMARSAT-4 GSO-1G
INMARSAT GSO-2A,INMARSAT-4 GSO-2A
INMARSAT GSO-2B,INMARSAT-4 GSO-2B
INMARSAT GSO-2C,INMARSAT-4 GSO-2C
INMARSAT GSO-2D,INMARSAT-4 GSO-2D
INMARSAT GSO-2E,INMARSAT-4 GSO-2E
INMARSAT GSO-2F,INMARSAT-4 GSO-2F
INMARSAT GSO-2G,INMARSAT-4 GSO-2G
INMARSAT-2 AOR CL 2A,INMARSAT AOR-CENT 2A
INMARSAT-2 AOR EAST,INMARSAT AOR-EAST
INMARSAT-2 AOR EAST2,INMARSAT AOR EAST-2
INMARSAT-2 AOR EAST2,INMARSAT-2 AOR EAST
INMARSAT-2 AOR WEST2,INMARSAT AOR WEST-2
INMARSAT-2 AOR-WEST,INMARSAT AOR-WEST
INMARSAT-2 IOR 1,INMARSAT IOR
INMARSAT-2 IOR 2,INMARSAT IOR-2
INMARSAT-2 POR 1,INMARSAT POR-1
INMARSAT-2 POR 2,INMARSAT POR-2
INMARSAT-4 LEO-2,INMARSAT ICO-A
INMARSAT-6-108.5E,INMARSAT-6-104E
INMARSAT-6-147E,INMARSAT-6-144E
INMARSAT-6-147W,INMARSAT-6-143W
INMARSAT-6-17.5W,INMARSAT-6-16W
INMARSAT-6-175W,INMARSAT-6-179E
INMARSAT-6-21.5E,INMARSAT-6-24E
INMARSAT-6-57W,INMARSAT-6-55W
