Network Name,Longitude,ITU Administration,Previous Name,Planned or Non-Planned,Highest Maturity,Brought-into-Use Date,Late-Stage Filing Date,Early-Stage Filing Date,Suspensions,Link
TURKSAT-1C,50.0,TUR ,n/a,Non-Planned,N,1998-12-28,1990-09-19,1990-02-08,"[['T', '2014-06-02', '2015-10-23'], ['T', '2009-04-01', '2010-04-12']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-1C&sel_satname=TURKSAT-1C&plan_id=
TURKSAT-K3,50.0,TUR ,n/a,Non-Planned,N,1998-12-28,1997-07-03,1997-01-02,"[['T', '2014-06-02', '2015-10-23'], ['T', '2009-04-01', '2010-04-12']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-K3&sel_satname=TURKSAT-K3&plan_id=
TURKSAT-C50E,50.0,TUR ,n/a,Non-Planned,N,2002-02-04,2007-02-19,2000-03-10,"[['T', '2014-06-02', '2015-10-23'], ['T', '2009-04-01', '2010-04-12']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-C50E&sel_satname=TURKSAT-C50E&plan_id=
TURKSAT-50E-J,50.0,TUR ,n/a,Non-Planned,C,n/a,n/a,2021-08-20,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TURKSAT-50E-J&sel_satname=TURKSAT-50E-J&plan_id=
TURKSAT-50E-C,50.0,TUR ,n/a,Non-Planned,N,2015-10-23,2017-12-26,2011-03-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-50E-C&sel_satname=TURKSAT-50E-C&plan_id=
TURKSAT-50E-B,50.0,TUR ,n/a,Non-Planned,N,2014-02-23,2014-02-22,2007-06-29,"[['T', '2014-06-02', '2015-10-23']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-50E-B&sel_satname=TURKSAT-50E-B&plan_id=
N-SAT-Y17-50E,50.0,J ,n/a,Non-Planned,C,n/a,n/a,2017-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y17-50E&sel_satname=N-SAT-Y17-50E&plan_id=
SECOMSAT-3-50E,50.0,E ,n/a,Non-Planned,C,n/a,n/a,2018-02-14,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-3-50E&sel_satname=SECOMSAT-3-50E&plan_id=
TURKSAT-50E-H,50.0,TUR ,n/a,Non-Planned,C,n/a,n/a,2019-12-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TURKSAT-50E-H&sel_satname=TURKSAT-50E-H&plan_id=
TURKSAT-50E-F,50.0,TUR ,n/a,Non-Planned,C,2021-11-12,2022-02-11,2015-03-19,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TURKSAT-50E-F&sel_satname=TURKSAT-50E-F&plan_id=
TURKSAT-50E-A,50.0,TUR ,n/a,Non-Planned,N,2008-02-20,2012-02-08,2005-03-31,"[['T', '2014-06-02', '2015-10-23']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TURKSAT-50E-A&sel_satname=TURKSAT-50E-A&plan_id=
NSS-G7-50.5E,50.5,HOL ,n/a,Non-Planned,C,n/a,n/a,2017-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G7-50.5E&sel_satname=NSS-G7-50.5E&plan_id=
NSS-G2-16,50.5,HOL ,n/a,Non-Planned,N,2015-06-28,2015-10-23,2008-11-12,"[['T', '2021-11-27', 'n/a']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=NSS-G2-16&sel_satname=NSS-G2-16&plan_id=
NSS-G4-22,50.5,HOL ,n/a,Non-Planned,N,2015-06-28,2018-07-03,2012-07-04,"[['P', '2021-11-27', 'n/a']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=NSS-G4-22&sel_satname=NSS-G4-22&plan_id=
THAICOM-C1,50.5,THA ,n/a,Non-Planned,N,2003-07-18,1994-11-16,1994-03-07,"[['T', '2021-11-27', 'n/a'], ['T', '2010-11-13', '2012-08-27'], ['T', '2009-09-30', '2010-10-12']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=THAICOM-C1&sel_satname=THAICOM-C1&plan_id=
NSS-FSS 50.5E,50.5,HOL ,n/a,Planned,P,n/a,n/a,2017-10-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+50.5E&sel_satname=NSS-FSS+50.5E&plan_id=plan
THAICOM-N1,50.5,THA ,n/a,Non-Planned,N,2010-10-12,2010-10-08,2004-10-13,"[['P', '2021-11-27', 'n/a'], ['T', '2010-11-13', '2012-08-27']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=THAICOM-N1&sel_satname=THAICOM-N1&plan_id=
COD00000,50.95,COD ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=COD00000&sel_satname=COD00000&plan_id=plan
THAICOM-51_1,51.0,THA ,n/a,Non-Planned,C,n/a,n/a,2016-12-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=THAICOM-51_1&sel_satname=THAICOM-51_1&plan_id=
THAICOM-51,51.0,THA ,n/a,Non-Planned,C,n/a,n/a,2016-04-27,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=THAICOM-51&sel_satname=THAICOM-51&plan_id=
USAEGIS-51E,51.0,USA ,n/a,Non-Planned,C,n/a,n/a,2020-10-13,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USAEGIS-51E&sel_satname=USAEGIS-51E&plan_id=
OMANSAT-51E,51.0,OMA ,n/a,Non-Planned,C,n/a,n/a,2018-06-07,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=OMANSAT-51E&sel_satname=OMANSAT-51E&plan_id=
